Datetime,TASK,TIME_LIMIT,STATUS
2020-11-08 17:32:59,poop,1,COMPLEATE
2020-11-08 17:51:50,dookie,1,COMPLEATE
2020-11-08 18:41:29,riff,10,COMPLEATE
2020-11-08 18:41:29,change laundry,5,COMPLEATE
2020-11-08 18:41:29,pick up book,3,COMPLEATE
2020-11-08 19:27:17,audio_python,45,COMPLEATE
2020-11-08 20:12:39,audio python,45,COMPLEATE
2020-11-08 20:58:26,sound,1,COMPLEATE
2020-11-08 21:10:50,soundtest,1,COMPLEATE
2020-11-08 21:10:50,soundtest,1,COMPLEATE
2020-11-09 11:41:10,coffee,6,COMPLEATE
2020-11-09 11:41:10,cheack control pannel,10,COMPLEATE
2020-11-09 13:43:38,raspi,10,COMPLEATE
2020-11-09 13:43:38,style notes in dont forget,5,COMPLEATE
2020-11-09 13:43:38,find stanley,7,COMPLEATE
2020-11-09 13:43:38,look for brants insta,7,COMPLEATE
2020-11-09 13:43:38,plan day,10,COMPLEATE
2020-11-09 13:43:38,poop,12,COMPLEATE
2020-11-09 14:22:45,lemons,3,COMPLEATE
2020-11-09 14:22:45,go,12,COMPLEATE
2020-11-09 14:22:45,write reset plan,6,COMPLEATE
2020-11-09 14:22:45,"copy to dont forget,life,jorn",6,COMPLEATE
2020-11-09 14:22:45,schedual time,1,COMPLEATE
2020-11-09 15:46:15,clean,6,COMPLEATE
2020-11-09 15:46:15,music,6,COMPLEATE
2020-11-09 15:46:15,meditate,20,COMPLEATE
2020-11-09 15:46:15,shake,10,COMPLEATE
2020-11-09 15:46:15,review plotly and sounds,6,COMPLEATE
2020-11-09 15:46:15,byt,6,COMPLEATE
2020-11-09 15:46:15,vit,6,COMPLEATE
2020-11-09 15:46:15,gratitude jornal,6,COMPLEATE
2020-11-09 15:46:15,yoga,6,COMPLEATE
2020-11-09 17:02:33,shavehead,6,COMPLEATE
2020-11-09 17:02:33,leftside,6,COMPLEATE
2020-11-09 17:02:33,rightside,6,COMPLEATE
2020-11-09 17:02:33,backside,6,COMPLEATE
2020-11-09 17:02:33,topside,6,COMPLEATE
2020-11-09 17:02:33,anythingelse,6,COMPLEATE
2020-11-09 17:02:33,beard,6,COMPLEATE
2020-11-09 17:02:33,b,6,COMPLEATE
2020-11-09 17:02:33,shower,6,COMPLEATE
2020-11-09 17:02:33,sweep,6,COMPLEATE
2020-11-09 17:02:33,clean bathroom,6,COMPLEATE
2020-11-09 17:33:11,respond to stan,3,COMPLEATE
2020-11-09 17:33:11,respond to brant,3,COMPLEATE
2020-11-09 17:33:11,respond to bill,3,COMPLEATE
2020-11-09 17:33:11,respond to chad,3,COMPLEATE
2020-11-09 17:33:11,respond to meg,3,COMPLEATE
2020-11-09 17:33:11,anyone else,3,COMPLEATE
2020-11-09 18:19:46,calculate order stats,10,COMPLEATE
2020-11-09 18:19:46,fill out calandar,10,COMPLEATE
2020-11-09 18:50:46,finish dataframe,10,COMPLEATE
2020-11-09 18:50:46,adjust levels,10,COMPLEATE
2020-11-09 18:50:46,send to billy ,10,COMPLEATE
2020-11-09 19:20:21,send to bill,10,COMPLEATE
2020-11-09 19:20:21,ready for next moves,1,COMPLEATE
2020-11-09 20:12:24,open audio notebook,5,COMPLEATE
2020-11-09 20:12:24,there are new tickers voice,5,COMPLEATE
2020-11-09 20:12:24,new word function,10,COMPLEATE
2020-11-09 20:12:24,shake and bake baby,10,COMPLEATE
2020-11-09 20:44:22,local speach to text,10,COMPLEATE
2020-11-09 20:44:22,add to schedual,10,COMPLEATE
2020-11-09 20:44:22,add to dropzone,10,COMPLEATE
2020-11-09 20:55:18,soundtest,1,COMPLEATE
2020-11-09 20:59:19,task test,1,COMPLEATE
2020-11-09 22:03:09,edit audio learn how use audacity,10,COMPLEATE
2020-11-09 22:03:09,edit the audio file,10,COMPLEATE
2020-11-09 22:03:09,export the audio file,5,COMPLEATE
2020-11-09 22:03:09,upload to googledrive,5,COMPLEATE
2020-11-09 22:03:09,upload other holosysnc,5,COMPLEATE
2020-11-09 22:03:09,send ray link,5,COMPLEATE
2020-11-09 22:03:09,post status,15,COMPLEATE
2020-11-10 01:07:23,test,1,COMPLEATE
2020-11-10 01:12:26,do the thing,2,COMPLEATE
2020-11-10 02:35:52,add speach to control panel,15,COMPLEATE
2020-11-10 02:35:52,add show tweets,15,COMPLEATE
2020-11-10 03:05:57,start water,2,COMPLEATE
2020-11-10 03:05:57,plan priorities,6,COMPLEATE
2020-11-10 03:05:57,coffee,3,COMPLEATE
2020-11-10 03:05:57,keep planning priorities,12,COMPLEATE
2020-11-10 03:05:57,drink coffee,5,COMPLEATE
2020-11-10 03:28:39,things and stuff,5,COMPLEATE
2020-11-10 03:28:39,make sure archive function is correct on super srape,10,COMPLEATE
2020-11-10 03:49:11,fix archive,10,COMPLEATE
2020-11-10 03:49:11,test it,10,COMPLEATE
2020-11-10 04:01:56,get it working ,10,COMPLEATE
2020-11-10 04:13:36,plan super backtest module,10,COMPLEATE
2020-11-10 06:15:57,plan martingale strat for crashes on the vix,10,COMPLEATE
2020-11-10 06:15:57,create a long short switch counting function,7,COMPLEATE
2020-11-10 06:15:57,isolate trues and get values,6,COMPLEATE
2020-11-10 06:15:57,use the multiples to get up and down targets,6,COMPLEATE
2020-11-10 06:15:57,only plot the most recent,10,COMPLEATE
2020-11-10 06:15:57,figure anything else out time to meditate,10,COMPLEATE
2020-11-10 08:00:46,enter print statments into a dick,6,COMPLEATE
2020-11-10 08:00:46,model status,6,COMPLEATE
2020-11-10 08:00:46,targets,6,COMPLEATE
2020-11-10 08:00:46,has it hit andy targets,6,COMPLEATE
2020-11-10 08:00:46,strategy sharp ratio,6,COMPLEATE
2020-11-10 08:00:46,strategy pee in el,2,COMPLEATE
2020-11-10 08:00:46,save most recent results,10,COMPLEATE
2020-11-10 08:00:46,multi-color pandas styleing,10,COMPLEATE
2020-11-10 08:00:46,compare and make me talk,10,COMPLEATE
2020-11-10 08:36:50,simulate differnce,5,COMPLEATE
2020-11-10 08:36:50,make a compare function,10,COMPLEATE
2020-11-10 08:36:50,list the diffences,10,COMPLEATE
2020-11-10 08:36:50,speak the differances,10,COMPLEATE
2020-11-10 10:14:13,clean,6,COMPLEATE
2020-11-10 10:14:13,music,6,COMPLEATE
2020-11-10 10:14:13,meditate,12,COMPLEATE
2020-11-10 10:14:13,situps,3,COMPLEATE
2020-11-10 10:14:13,review,6,COMPLEATE
2020-11-10 10:14:13,vit,3,COMPLEATE
2020-11-10 10:14:13,brush your pubes,6,COMPLEATE
2020-11-10 10:14:13,gratitude jorn,6,COMPLEATE
2020-11-10 10:14:13,routine three compleate,1,COMPLEATE
2020-11-10 10:48:09,tea,6,COMPLEATE
2020-11-10 11:15:58,meza,1,COMPLEATE
2020-11-10 11:15:58,jesse,1,COMPLEATE
2020-11-10 11:15:58,zander,1,COMPLEATE
2020-11-10 11:15:58,rain,1,COMPLEATE
2020-11-10 11:25:19,plan the plan way,5,COMPLEATE
2020-11-10 12:02:30,open notebook,2,COMPLEATE
2020-11-10 12:02:30,run all ,2,COMPLEATE
2020-11-10 12:02:30,change vape battery start vape battery timmer,2,COMPLEATE
2020-11-10 12:02:30,adjust DMTK orders,6,COMPLEATE
2020-11-10 12:02:30,adjust anything else or start working on activation functions,15,COMPLEATE
2020-11-10 12:02:30,plan for more moves or start working on news feed and options chain archive,6,COMPLEATE
2020-11-10 12:30:33,get some meatloaf ,3,COMPLEATE
2020-11-10 12:30:33,eat it up mother fucker,15,COMPLEATE
2020-11-10 12:30:33,five minutes left,5,COMPLEATE
2020-11-10 12:44:01,do the do,6,COMPLEATE
2020-11-10 12:44:01,halfway point,6,COMPLEATE
2020-11-10 12:52:24,plan,8,COMPLEATE
2020-11-10 13:43:27,clean up webull and take notes,10,COMPLEATE
2020-11-10 13:43:27,is there an options chain?,10,COMPLEATE
2020-11-10 13:43:27,archive it,6,COMPLEATE
2020-11-10 13:43:27,can you get headlines ,10,COMPLEATE
2020-11-10 13:43:27,archive em,6,COMPLEATE
2020-11-10 13:43:27,what else is ther,6,COMPLEATE
2020-11-10 14:17:27,pi,6,COMPLEATE
2020-11-10 14:17:27,ready fready,1,COMPLEATE
2020-11-10 14:57:11,msg chad,5,COMPLEATE
2020-11-10 14:57:11,riff around the hedges,12,COMPLEATE
2020-11-10 14:57:11,prepair to meditate,10,COMPLEATE
2020-11-10 14:57:11,build the webull back end and new naming convention,10,COMPLEATE
2020-11-10 15:18:50,mediTE,6,COMPLEATE
2020-11-10 15:22:33,WRIST WORKOUT ,3,COMPLEATE
2020-11-10 15:35:16,charge battery 1,60,COMPLEATE
2020-11-10 15:35:16,charge battery 2,60,COMPLEATE
2020-11-10 15:35:16,charge batter 3 ,60,COMPLEATE
2020-11-10 15:35:16,charge battery 4,60,COMPLEATE
2020-11-10 16:01:37,NEW file saving protocal,10,COMPLEATE
2020-11-10 16:01:37,archive the file,6,COMPLEATE
2020-11-10 16:01:37,load file from csv,6,COMPLEATE
2020-11-10 16:01:37,attmpt parse,6,COMPLEATE
2020-11-10 16:41:09,archive options data,10,COMPLEATE
2020-11-10 16:41:09,parse options,10,COMPLEATE
2020-11-10 17:45:13,setup,2,COMPLEATE
2020-11-10 17:45:13,food,3,COMPLEATE
2020-11-10 17:45:13,eat,15,COMPLEATE
2020-11-10 17:45:13,resp,5,COMPLEATE
2020-11-10 18:42:33,take notes on cells clean it up,10,COMPLEATE
2020-11-10 18:42:33,move it to the back end,10,COMPLEATE
2020-11-10 20:10:51,activation function on PW get rsi values,10,COMPLEATE
2020-11-10 20:10:51,use dataframe to determain if we buy or hold,10,COMPLEATE
2020-11-10 20:10:51,make it talk,10,COMPLEATE
2020-11-10 21:10:51,its time to tell tofure about the A Dee H D app,1,COMPLEATE
2020-11-10 21:14:00,get out of bed you worthless shit or ill kill you ,1,COMPLEATE
2020-11-10 22:24:25,write on on P W,10,COMPLEATE
2020-11-10 22:24:25,plan next activation function,10,COMPLEATE
2020-11-10 22:57:29,buid actvtion function on hyln,10,COMPLEATE
2020-11-10 22:57:29,MAKE IT TALK,10,COMPLEATE
2020-11-11 15:06:57,open deep learning notebook,3,COMPLEATE
2020-11-11 15:06:57,take coniditional strat function,6,COMPLEATE
2020-11-11 15:06:57,apply atr strats to signals,10,COMPLEATE
2020-11-11 16:01:17,PLAN BEEM STRAT TESTER,10,COMPLEATE
2020-11-11 16:10:27,P,6,COMPLEATE
2020-11-11 16:55:28,WRITE ALL THE THINGS TO DO,10,COMPLEATE
2020-11-11 17:01:47,finish planning,6,COMPLEATE
2020-11-11 17:12:08,almost done planning,10,COMPLEATE
2020-11-11 19:02:15,send kat link to drive,3,COMPLEATE
2020-11-11 19:02:15,whats chill,2,COMPLEATE
2020-11-11 19:02:15,respond to who ,2,COMPLEATE
2020-11-11 19:02:15,put smak into a function,6,COMPLEATE
2020-11-11 19:02:15,write a doc string with an example for input and output,6,COMPLEATE
2020-11-11 19:02:15,open plotly example plots,3,COMPLEATE
2020-11-11 19:02:15,make a candel stick chart ,10,COMPLEATE
2020-11-11 19:02:15,make a function that compiles stategys into fastuant format,6,COMPLEATE
2020-11-11 19:02:15,doc string it,6,COMPLEATE
2020-11-11 19:02:15,add the targets function,10,COMPLEATE
2020-11-11 19:02:15,mix them together in a backtest sample,10,COMPLEATE
2020-11-11 19:02:15,map out each item that can be a loop,6,COMPLEATE
2020-11-11 19:02:15,plumb how mixing all these backtests together is going to work,10,COMPLEATE
2020-11-11 19:29:22,work on strat,90,COMPLEATE
2020-11-11 19:29:22,routine,60,COMPLEATE
2020-11-11 19:29:22,plan departure,10,COMPLEATE
2020-11-11 21:36:14,SAVING THE LIST,5,COMPLEATE
2020-11-11 21:36:14,CREATE README FILES FOR BOTH PROGRAMS,5,COMPLEATE
2020-11-11 21:36:14,FOOD,5,COMPLEATE
2020-11-11 21:36:14,PHIL DEFRANCO,5,COMPLEATE
2020-11-11 21:36:14,email lee,5,COMPLEATE
2020-11-11 21:36:14,look for financial sentiment bag of words,10,COMPLEATE
2020-11-11 21:36:14, look for stt with vosk,10,COMPLEATE
2020-11-11 21:36:14,write out a quick routine for under 30min,5,COMPLEATE
2020-11-11 21:36:14,routine,30,COMPLEATE
2020-11-11 21:39:06,take dishes down,3,COMPLEATE
2020-11-11 21:39:06,music,6,COMPLEATE
2020-11-11 21:39:06,meditae,6,COMPLEATE
